--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
025.257  000.930  000.468: require('plenary.job')
025.274  001.116  000.100: require('octo.gh')
025.515  000.145  000.145: require('octo.gh.queries')
025.681  000.165  000.165: require('octo.gh.mutations')
025.683  000.408  000.098: require('octo.gh.graphql')
025.818  000.135  000.135: require('octo.ui.signs')
026.158  000.130  000.130: require('octo.model.comment-metadata')
026.316  000.158  000.158: require('octo.model.thread-metadata')
026.722  000.068  000.068: require('octo.release')
026.738  000.421  000.353: require('octo.utils')
026.884  000.080  000.080: require('octo.ui.colors')
026.886  000.147  000.067: require('octo.ui.bubbles')
026.897  001.078  000.223: require('octo.ui.writers')
026.902  003.451  000.169: require('octo.model.octo-buffer')
027.124  000.066  000.066: require('octo.navigation')
027.188  000.063  000.063: require('octo.picker')
027.520  000.070  000.070: require('octo.reviews.renderer')
027.524  000.150  000.080: require('octo.reviews.file-panel')
027.630  000.105  000.105: require('octo.reviews.file-entry')
027.632  000.329  000.075: require('octo.reviews.layout')
027.699  000.066  000.066: require('octo.reviews.rev')
027.765  000.066  000.066: require('octo.reviews.thread-panel')
027.835  000.069  000.069: require('octo.ui.window')
027.901  000.065  000.065: require('octo.reviews.thread')
027.905  000.716  000.122: require('octo.reviews')
027.913  001.010  000.164: require('octo.commands')
027.979  000.065  000.065: require('octo.completion')
027.982  004.989  000.463: require('octo')
028.314  000.009  000.009: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.317  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.319  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.321  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.323  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.324  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.326  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.334  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.340  000.004  000.004: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.348  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.349  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.351  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.353  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.354  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
028.356  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
029.170  000.029  000.029: sourcing /Users/I569398/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
029.173  000.067  000.039: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
029.203  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
029.211  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
029.463  000.133  000.133: sourcing /Users/I569398/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
029.467  000.173  000.040: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
029.491  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
029.519  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
030.007  000.463  000.463: require('telescope.builtin')
030.380  000.099  000.099: require('plenary.bit')
030.408  000.212  000.114: require('plenary.path')
030.608  000.004  000.004: require('vim.F')
030.651  000.179  000.174: require('plenary.log')
030.663  000.255  000.076: require('telescope.log')
030.757  000.093  000.093: require('plenary.strings')
030.824  000.066  000.066: require('telescope.state')
030.842  000.723  000.097: require('telescope.utils')
030.844  000.791  000.067: require('telescope.previewers.previewer')
031.119  000.090  000.090: require('telescope.deprecated')
031.216  000.097  000.097: require('telescope.sorters')
032.146  001.222  001.035: require('telescope.config')
032.224  000.077  000.077: require('telescope.from_entry')
032.398  000.103  000.103: require('plenary.context_manager')
033.375  000.239  000.239: require('nvim-treesitter.utils')
033.851  000.063  000.063: require('vim.treesitter.language')
033.907  000.054  000.054: require('vim.func')
033.967  000.058  000.058: require('vim.func._memoize')
033.981  000.264  000.089: require('vim.treesitter.query')
034.049  000.067  000.067: require('vim.treesitter._range')
034.056  000.424  000.093: require('vim.treesitter.languagetree')
034.059  000.516  000.092: require('vim.treesitter')
034.342  000.966  000.450: require('nvim-treesitter.parsers')
034.594  000.056  000.056: require('nvim-treesitter.compat')
034.713  000.063  000.063: require('nvim-treesitter.ts_utils')
034.715  000.121  000.058: require('nvim-treesitter.tsrange')
034.774  000.058  000.058: require('nvim-treesitter.caching')
034.778  000.304  000.069: require('nvim-treesitter.query')
034.784  000.380  000.075: require('nvim-treesitter.configs')
034.785  000.443  000.063: require('nvim-treesitter.info')
034.851  000.065  000.065: require('nvim-treesitter.shell_command_selectors')
034.879  001.859  000.147: require('nvim-treesitter.install')
034.935  000.055  000.055: require('nvim-treesitter.statusline')
034.997  000.061  000.061: require('nvim-treesitter.query_predicates')
034.999  002.236  000.259: require('nvim-treesitter')
035.092  000.091  000.091: require('vim.iter')
035.479  002.767  000.441: sourcing /Users/I569398/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
035.484  002.806  000.039: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
035.530  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
